Distribution of seeing verbs by Period and Genre. Fields: Verb, translation in Oracc, absolute frequency, relative frequency (words per million).

Achaemenid Astronomical (7776)
barû	seen	0	0.0	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	16	2057.6	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Achaemenid Hymn-Prayer (243)
barû	seen	0	0.0	
palāsu	look at	1	4115.2	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	0	0.0	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Achaemenid Incantation-Ritual (9067)
barû	seen	3	330.9	
palāsu	look at	3	330.9	
naṭālu	look	1	110.3	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	8	882.3	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Achaemenid Literary (394)
barû	seen	0	0.0	
palāsu	look at	1	2538.1	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	1	2538.1	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Achaemenid Mathematical (15088)
barû	seen	3	198.8	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	9	596.5	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Achaemenid Medical (1418)
barû	seen	2	1410.4	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	3	2115.7	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Achaemenid Omen (76415)
barû	seen	5	65.4	
palāsu	look at	1	13.1	
naṭālu	look	1	13.1	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	81	1060.0	
dagālu	see	1	13.1	
hiāṭu	supervise	2	26.2	


Achaemenid Royal Inscription (3455)
barû	seen	2	578.9	
palāsu	look at	2	578.9	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	0	0.0	
dagālu	see	0	0.0	
hiāṭu	supervise	1	289.4	


Achaemenid Scholarly (684)
barû	seen	1	1462.0	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	1	1462.0	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


First Millennium Scholarly (7569)
barû	seen	1	132.1	
palāsu	look at	0	0.0	
naṭālu	look	2	264.2	
ṣubbû	observe (from a distance)	1	132.1	
amāru	see	10	1321.2	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Hellenistic Administrative (396)
barû	seen	0	0.0	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	0	0.0	
dagālu	see	0	0.0	
hiāṭu	supervise	3	7575.8	


Hellenistic Legal (566)
barû	seen	0	0.0	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	1	1766.8	
dagālu	see	2	3533.6	
hiāṭu	supervise	0	0.0	


Hellenistic Letter (121)
barû	seen	0	0.0	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	1	8264.5	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Hellenistic Literary (673)
barû	seen	1	1485.9	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	0	0.0	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Hellenistic Ritual (1725)
barû	seen	0	0.0	
palāsu	look at	3	1739.1	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	0	0.0	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Middle Assyrian Ritual (414)
barû	seen	0	0.0	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	0	0.0	
dagālu	see	0	0.0	
hiāṭu	supervise	2	4830.9	


Middle Assyrian Royal Inscription (12405)
barû	seen	2	161.2	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	9	725.5	
dagālu	see	2	161.2	
hiāṭu	supervise	0	0.0	


Middle Assyrian School (100)
barû	seen	1	10000.0	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	0	0.0	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Middle Assyrian _ (4654)
barû	seen	2	429.7	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	1	214.9	
dagālu	see	0	0.0	
hiāṭu	supervise	1	214.9	


Middle Babylonian Literary (54)
barû	seen	0	0.0	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	1	18518.5	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Middle Babylonian Royal Inscription (652)
barû	seen	0	0.0	
palāsu	look at	2	3067.5	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	0	0.0	
dagālu	see	0	0.0	
hiāṭu	supervise	1	1533.7	


Middle Babylonian _ (1842)
barû	seen	3	1628.7	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	1	542.9	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Middle Babylonian mathematical (55)
barû	seen	0	0.0	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	1	18181.8	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Neo-Assyrian Astronomical (9521)
barû	seen	1	105.0	
palāsu	look at	1	105.0	
naṭālu	look	1	105.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	13	1365.4	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Neo-Assyrian Hemerological (4301)
barû	seen	1	232.5	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	8	1860.0	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Neo-Assyrian Historical (1127)
barû	seen	0	0.0	
palāsu	look at	0	0.0	
naṭālu	look	0	0.0	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	3	2661.9	
dagālu	see	0	0.0	
hiāṭu	supervise	0	0.0	


Neo-Assyrian Hymn-Prayer (6797)
barû	seen	1	147.1	
palāsu	look at	2	294.2	
naṭālu	look	2	294.2	
ṣubbû	observe (from a distance)	0	0.0	
amāru	see	2	294.2	
dagālu	see	2	294.2	
hiāṭu	supervise	2	294.2	


Neo-Assyrian Incantation-Ritual (24914)
barû	seen	5	200.7	
palāsu	look at	12	481.7	
